keyword,occurrences,average_frequency
ABORT,134,0.0134
ACTION,13,0.0013
ADD,1215,0.1215
AFTER,169,0.0169
ALL,5017,0.5017
ALTER,3002,0.3002
ALWAYS,144,0.0144
ANALYZE,1807,0.1807
AND,3502,0.3502
AS,10033,1.0033
ASC,107,0.0107
ATTACH,154,0.0154
AUTOINCREMENT,251,0.0251
BEFORE,7,0.0007
BEGIN,1396,0.1396
BETWEEN,1108,0.1108
BY,8489,0.8489
CASCADE,237,0.0237
CASE,1111,0.1111
CAST,144,0.0144
CHECK,873,0.0873
COLLATE,3075,0.3075
COLUMN,1400,0.14
COMMIT,340,0.034
CONFLICT,1,0.0001
CONSTRAINT,386,0.0386
CREATE,25676,2.5676
CROSS,381,0.0381
CURRENT,44,0.0044
CURRENT_DATE,0,0.0
CURRENT_TIME,0,0.0
CURRENT_TIMESTAMP,0,0.0
DATABASE,404,0.0404
DEFAULT,647,0.0647
DEFERRABLE,9,0.0009
DEFERRED,12,0.0012
DELETE,224,0.0224
DESC,358,0.0358
DETACH,69,0.0069
DISTINCT,3277,0.3277
DO,1,0.0001
DROP,2655,0.2655
EACH,1,0.0001
ELSE,377,0.0377
END,1380,0.138
ESCAPE,65,0.0065
EXCEPT,458,0.0458
EXCLUDE,177,0.0177
EXCLUSIVE,20,0.002
EXISTS,19104,1.9104
EXPLAIN,29,0.0029
FAIL,9,0.0009
FILTER,82,0.0082
FIRST,519,0.0519
FOLLOWING,1,0.0001
FOR,947,0.0947
FOREIGN,384,0.0384
FROM,22150,2.215
FULL,169,0.0169
GENERATED,143,0.0143
GLOB,0,0.0
GROUP,4044,0.4044
GROUPS,0,0.0
HAVING,53,0.0053
IF,18216,1.8216
IGNORE,49,0.0049
IMMEDIATE,58,0.0058
IN,5148,0.5148
INDEX,3607,0.3607
INDEXED,0,0.0
INITIALLY,9,0.0009
INNER,375,0.0375
INSERT,13982,1.3982
INSTEAD,5,0.0005
INTERSECT,644,0.0644
INTO,14287,1.4287
IS,10971,1.0971
ISNULL,0,0.0
JOIN,3001,0.3001
KEY,6141,0.6141
LAST,143,0.0143
LEFT,1168,0.1168
LIKE,1451,0.1451
LIMIT,590,0.059
MATCH,817,0.0817
MATERIALIZED,68,0.0068
NATURAL,127,0.0127
NO,37,0.0037
NOT,25692,2.5692
NOTHING,1,0.0001
NOTNULL,0,0.0
NULL,6817,0.6817
NULLS,356,0.0356
OF,1296,0.1296
OFFSET,264,0.0264
ON,6339,0.6339
OR,1665,0.1665
ORDER,3728,0.3728
OTHERS,0,0.0
OUTER,0,0.0
OVER,720,0.072
PARTITION,736,0.0736
PLAN,48,0.0048
PRAGMA,732,0.0732
PRECEDING,0,0.0
PRIMARY,5800,0.58
QUERY,136,0.0136
RAISE,125,0.0125
RANGE,100,0.01
RECURSIVE,1386,0.1386
REFERENCES,1044,0.1044
REGEXP,26,0.0026
REINDEX,35,0.0035
RELEASE,44,0.0044
RENAME,917,0.0917
REPLACE,846,0.0846
RESTRICT,211,0.0211
RETURNING,26,0.0026
RIGHT,172,0.0172
ROLLBACK,72,0.0072
ROW,99,0.0099
ROWS,402,0.0402
SAVEPOINT,211,0.0211
SELECT,21608,2.1608
SET,2068,0.2068
TABLE,23372,2.3372
TEMP,12,0.0012
TEMPORARY,879,0.0879
THEN,925,0.0925
TIES,342,0.0342
TO,3368,0.3368
TRANSACTION,77,0.0077
TRIGGER,319,0.0319
UNBOUNDED,0,0.0
UNION,1128,0.1128
UNIQUE,2078,0.2078
UPDATE,1381,0.1381
USING,1742,0.1742
VACUUM,67,0.0067
VALUES,13635,1.3635
VIEW,1711,0.1711
VIRTUAL,541,0.0541
WHEN,883,0.0883
WHERE,10501,1.0501
WINDOW,109,0.0109
WITH,3684,0.3684
WITHOUT,1004,0.1004
