keyword,queries,coverage
ABORT,134,0.0134
ACTION,13,0.0013
ADD,951,0.0951
AFTER,169,0.0169
ALL,2475,0.2475
ALTER,2380,0.238
ALWAYS,143,0.0143
ANALYZE,1336,0.1336
AND,2334,0.2334
AS,4357,0.4357
ASC,106,0.0106
ATTACH,152,0.0152
AUTOINCREMENT,184,0.0184
BEFORE,7,0.0007
BEGIN,1345,0.1345
BETWEEN,877,0.0877
BY,4221,0.4221
CASCADE,228,0.0228
CASE,971,0.0971
CAST,131,0.0131
CHECK,793,0.0793
COLLATE,1873,0.1873
COLUMN,1119,0.1119
COMMIT,332,0.0332
CONFLICT,1,0.0001
CONSTRAINT,335,0.0335
CREATE,9464,0.9464
CROSS,377,0.0377
CURRENT,43,0.0043
CURRENT_DATE,0,0.0
CURRENT_TIME,0,0.0
CURRENT_TIMESTAMP,0,0.0
DATABASE,389,0.0389
DEFAULT,454,0.0454
DEFERRABLE,9,0.0009
DEFERRED,12,0.0012
DELETE,206,0.0206
DESC,350,0.035
DETACH,69,0.0069
DISTINCT,1955,0.1955
DO,1,0.0001
DROP,2203,0.2203
EACH,1,0.0001
ELSE,369,0.0369
END,1211,0.1211
ESCAPE,62,0.0062
EXCEPT,377,0.0377
EXCLUDE,172,0.0172
EXCLUSIVE,20,0.002
EXISTS,8337,0.8337
EXPLAIN,28,0.0028
FAIL,9,0.0009
FILTER,81,0.0081
FIRST,472,0.0472
FOLLOWING,1,0.0001
FOR,666,0.0666
FOREIGN,313,0.0313
FROM,7597,0.7597
FULL,166,0.0166
GENERATED,142,0.0142
GLOB,0,0.0
GROUP,2351,0.2351
GROUPS,0,0.0
HAVING,53,0.0053
IF,8197,0.8197
IGNORE,47,0.0047
IMMEDIATE,58,0.0058
IN,2699,0.2699
INDEX,2198,0.2198
INDEXED,0,0.0
INITIALLY,9,0.0009
INNER,367,0.0367
INSERT,6909,0.6909
INSTEAD,5,0.0005
INTERSECT,456,0.0456
INTO,6897,0.6897
IS,3263,0.3263
ISNULL,0,0.0
JOIN,2249,0.2249
KEY,4057,0.4057
LAST,139,0.0139
LEFT,977,0.0977
LIKE,977,0.0977
LIMIT,542,0.0542
MATCH,697,0.0697
MATERIALIZED,67,0.0067
NATURAL,127,0.0127
NO,34,0.0034
NOT,8721,0.8721
NOTHING,1,0.0001
NOTNULL,0,0.0
NULL,3313,0.3313
NULLS,341,0.0341
OF,864,0.0864
OFFSET,239,0.0239
ON,3929,0.3929
OR,1256,0.1256
ORDER,2811,0.2811
OTHERS,0,0.0
OUTER,0,0.0
OVER,673,0.0673
PARTITION,682,0.0682
PLAN,48,0.0048
PRAGMA,697,0.0697
PRECEDING,0,0.0
PRIMARY,3924,0.3924
QUERY,136,0.0136
RAISE,120,0.012
RANGE,92,0.0092
RECURSIVE,1188,0.1188
REFERENCES,904,0.0904
REGEXP,25,0.0025
REINDEX,35,0.0035
RELEASE,44,0.0044
RENAME,881,0.0881
REPLACE,767,0.0767
RESTRICT,208,0.0208
RETURNING,26,0.0026
RIGHT,142,0.0142
ROLLBACK,72,0.0072
ROW,81,0.0081
ROWS,387,0.0387
SAVEPOINT,208,0.0208
SELECT,7445,0.7445
SET,1539,0.1539
TABLE,9425,0.9425
TEMP,12,0.0012
TEMPORARY,803,0.0803
THEN,643,0.0643
TIES,334,0.0334
TO,2198,0.2198
TRANSACTION,77,0.0077
TRIGGER,317,0.0317
UNBOUNDED,0,0.0
UNION,962,0.0962
UNIQUE,1512,0.1512
UPDATE,1121,0.1121
USING,1459,0.1459
VACUUM,67,0.0067
VALUES,6756,0.6756
VIEW,1277,0.1277
VIRTUAL,536,0.0536
WHEN,611,0.0611
WHERE,5154,0.5154
WINDOW,107,0.0107
WITH,2206,0.2206
WITHOUT,944,0.0944
