keyword,occurrences,average_frequency
ABORT,0,0.0
ACTION,0,0.0
ADD,1706,0.1706
AFTER,463,0.0463
ALL,1557,0.1557
ALTER,3274,0.3274
ALWAYS,286,0.0286
ANALYZE,1218,0.1218
AND,4257,0.4257
AS,76718,7.6718
ASC,0,0.0
ATTACH,137,0.0137
AUTOINCREMENT,465,0.0465
BEFORE,0,0.0
BEGIN,1350,0.135
BETWEEN,375,0.0375
BY,10161,1.0161
CASCADE,0,0.0
CASE,481,0.0481
CAST,65828,6.5828
CHECK,1575,0.1575
COLLATE,924,0.0924
COLUMN,2227,0.2227
COMMIT,385,0.0385
CONFLICT,0,0.0
CONSTRAINT,284,0.0284
CREATE,27224,2.7224
CROSS,244,0.0244
CURRENT,0,0.0
CURRENT_DATE,0,0.0
CURRENT_TIME,0,0.0
CURRENT_TIMESTAMP,0,0.0
DATABASE,0,0.0
DEFAULT,730,0.073
DEFERRABLE,0,0.0
DEFERRED,0,0.0
DELETE,581,0.0581
DESC,256,0.0256
DETACH,0,0.0
DISTINCT,2032,0.2032
DO,0,0.0
DROP,2003,0.2003
EACH,0,0.0
ELSE,286,0.0286
END,1103,0.1103
ESCAPE,0,0.0
EXCEPT,631,0.0631
EXCLUDE,0,0.0
EXCLUSIVE,0,0.0
EXISTS,19391,1.9391
EXPLAIN,0,0.0
FAIL,0,0.0
FILTER,0,0.0
FIRST,0,0.0
FOLLOWING,0,0.0
FOR,0,0.0
FOREIGN,470,0.047
FROM,29660,2.966
FULL,0,0.0
GENERATED,286,0.0286
GLOB,0,0.0
GROUP,3926,0.3926
GROUPS,0,0.0
HAVING,317,0.0317
IF,18831,1.8831
IGNORE,0,0.0
IMMEDIATE,0,0.0
IN,2615,0.2615
INDEX,4166,0.4166
INDEXED,0,0.0
INITIALLY,0,0.0
INNER,704,0.0704
INSERT,22093,2.2093
INSTEAD,0,0.0
INTERSECT,1318,0.1318
INTO,21946,2.1946
IS,2842,0.2842
ISNULL,0,0.0
JOIN,4298,0.4298
KEY,6773,0.6773
LAST,0,0.0
LEFT,1779,0.1779
LIKE,1647,0.1647
LIMIT,0,0.0
MATCH,0,0.0
MATERIALIZED,0,0.0
NATURAL,0,0.0
NO,0,0.0
NOT,21306,2.1306
NOTHING,0,0.0
NOTNULL,0,0.0
NULL,5558,0.5558
NULLS,0,0.0
OF,0,0.0
OFFSET,0,0.0
ON,8057,0.8057
OR,2599,0.2599
ORDER,5830,0.583
OTHERS,0,0.0
OUTER,0,0.0
OVER,648,0.0648
PARTITION,405,0.0405
PLAN,0,0.0
PRAGMA,1516,0.1516
PRECEDING,0,0.0
PRIMARY,6303,0.6303
QUERY,0,0.0
RAISE,0,0.0
RANGE,0,0.0
RECURSIVE,779,0.0779
REFERENCES,1030,0.103
REGEXP,0,0.0
REINDEX,0,0.0
RELEASE,0,0.0
RENAME,931,0.0931
REPLACE,30,0.003
RESTRICT,0,0.0
RETURNING,0,0.0
RIGHT,406,0.0406
ROLLBACK,0,0.0
ROW,0,0.0
ROWS,0,0.0
SAVEPOINT,0,0.0
SELECT,30163,3.0163
SET,1733,0.1733
TABLE,25394,2.5394
TEMP,0,0.0
TEMPORARY,434,0.0434
THEN,871,0.0871
TIES,0,0.0
TO,931,0.0931
TRANSACTION,136,0.0136
TRIGGER,463,0.0463
UNBOUNDED,0,0.0
UNION,1923,0.1923
UNIQUE,1422,0.1422
UPDATE,2049,0.2049
USING,534,0.0534
VACUUM,0,0.0
VALUES,21585,2.1585
VIEW,1841,0.1841
VIRTUAL,396,0.0396
WHEN,871,0.0871
WHERE,16084,1.6084
WINDOW,243,0.0243
WITH,1071,0.1071
WITHOUT,1743,0.1743
